feature,n_cont_positive_r2,n_bin_significant,avg_r2,avg_auc_dev,total_useful
volume_autocorr,2,50,-0.0463048255216682,0.03406808023854797,52
vol_price_feedback,2,50,-0.07061448994664966,0.04885392043585578,52
fvg_bearish_count_10,6,45,-0.054342639183871395,0.0650443089634427,51
hilbert_mean_amplitude,6,45,-0.04717402904279894,0.06634433956200633,51
busiest_quartile,5,45,-0.0560949777368502,0.03338055125837651,50
absorption_ratio_z,2,47,-0.05235270320567816,0.03471784598596795,49
avg_trade_size_z,2,47,-0.05578618746614073,0.057708563220376395,49
side_sequence_entropy_z,6,43,-0.05607864470908943,0.04146514544726945,49
hour_cos,2,47,-0.05210361039262882,0.0537196047407006,49
size_gini_z,2,47,-0.05666819055759161,0.05515854832068583,49
close,0,49,-0.1111152034367257,0.06400098626359027,49
buy_volume_z,0,49,-0.04845090622440774,0.10448249430037261,49
avg_buy_size,2,46,-0.057575486878230456,0.04332659716114169,48
downtick_pct,2,46,-0.05520875610228548,0.04480817063357902,48
fib_size_ratio_pct_z,0,48,-0.06262316408838908,0.04444719036461391,48
time_to_low_pct,0,48,-0.05594992726057954,0.037569069301757754,48
trade_size_p25,0,48,-0.0805714030042131,0.058932191480112264,48
hilbert_std_amplitude,0,48,-0.0524875010883056,0.05009113882757533,48
absorption_ratio,0,47,-0.07095322952647413,0.04513085703730086,47
price_volume_angle_cos_z,2,45,-0.05475248365262347,0.03653103532082827,47
taylor_price_a0,0,47,-0.05555994163727976,0.05873616697611734,47
taylor_price_rmse_z,2,45,-0.0546096289490795,0.03664512404242584,47
vpin,2,45,-0.04558435421897888,0.04635269251161403,47
large_buy_pct,0,46,-0.054458310703033475,0.048910166862501644,46
ew_impulse_quality_z,2,44,-0.05551495269416971,0.03787229344748614,46
taylor_rate_a1,0,46,-0.05554057205188532,0.06186821857579687,46
sell_urgency_ratio,2,44,-0.05473707555829633,0.058248621685149674,46
vol_asymmetry_z,0,46,-0.055193286186631656,0.05818739749218294,46
max_drawup_z,0,45,-0.05423172015915798,0.08100589712543349,45
inter_trade_entropy,0,45,-0.0507548270680189,0.08116478499192022,45
max_monotonic_run,4,41,-0.034166249620744084,0.07789744707656895,45
drawdown_drawup_asymmetry,2,42,-0.05525664085484182,0.0545178070791522,44
aggression_imbalance_z,0,44,-0.056814454844922514,0.05369112525080079,44
consecutive_direction_z,0,43,-0.058160395812202774,0.059801406727227766,43
turbulence,2,41,-0.05264708964176541,0.03331915074905609,43
fvg_bearish_size_bps_z,0,43,-0.058613465304716374,0.06199092947346244,43
area_above_vwap_pct_z,0,42,-0.05733095267160465,0.05969605472095826,42
volume_pct_q4_z,0,42,-0.05545284208962034,0.04685927253604042,42
golden_ratio_half_dist_z,0,41,-0.05487238808964165,0.0442879781596929,41
hour_sin,2,39,-0.051738659618760376,0.03254096138335241,41
session_asia,0,40,-0.05243168991775125,0.049158918332149026,40
volume_profile_skew_z,0,39,-0.0564397488023648,0.06888877960411796,39
session_us,0,37,-0.05250413498942785,0.023321620713356687,37
ew_impulse_detected,2,33,-0.05774321380659649,0.03193571156645896,35
